"","country","year","sex","x","q_x"
"1","Argentina",2015,"female",0,0.01028129
"2","Argentina",2015,"male",0,0.01225415
"3","Argentina",2015,"female",1,0.0005524
"4","Argentina",2015,"male",1,0.00052588
"5","Argentina",2015,"female",2,0.00043069
"6","Argentina",2015,"male",2,0.00043831
"7","Argentina",2015,"female",3,0.00033794
"8","Argentina",2015,"male",3,0.00036647
"9","Argentina",2015,"female",4,0.00026879
"10","Argentina",2015,"male",4,0.00030851
"11","Argentina",2015,"female",5,0.00021851
"12","Argentina",2015,"male",5,0.00026275
"13","Argentina",2015,"female",6,0.00018328
"14","Argentina",2015,"male",6,0.00022796
"15","Argentina",2015,"female",7,0.00016005
"16","Argentina",2015,"male",7,0.00020315
"17","Argentina",2015,"female",8,0.00014652
"18","Argentina",2015,"male",8,0.00018801
"19","Argentina",2015,"female",9,0.0001414
"20","Argentina",2015,"male",9,0.00018287
"21","Argentina",2015,"female",10,0.00014426
"22","Argentina",2015,"male",10,0.0001894
"23","Argentina",2015,"female",11,0.00015569
"24","Argentina",2015,"male",11,0.00021119
"25","Argentina",2015,"female",12,0.00017686
"26","Argentina",2015,"male",12,0.00025427
"27","Argentina",2015,"female",13,0.00020968
"28","Argentina",2015,"male",13,0.00032941
"29","Argentina",2015,"female",14,0.00025502
"30","Argentina",2015,"male",14,0.00044961
"31","Argentina",2015,"female",15,0.00031176
"32","Argentina",2015,"male",15,0.00062875
"33","Argentina",2015,"female",16,0.00037461
"34","Argentina",2015,"male",16,0.00086664
"35","Argentina",2015,"female",17,0.0004331
"36","Argentina",2015,"male",17,0.00113303
"37","Argentina",2015,"female",18,0.00047769
"38","Argentina",2015,"male",18,0.00137542
"39","Argentina",2015,"female",19,0.00050188
"40","Argentina",2015,"male",19,0.00153238
"41","Argentina",2015,"female",20,0.00050831
"42","Argentina",2015,"male",20,0.00158713
"43","Argentina",2015,"female",21,0.00050525
"44","Argentina",2015,"male",21,0.00156185
"45","Argentina",2015,"female",22,0.00050058
"46","Argentina",2015,"male",22,0.00149484
"47","Argentina",2015,"female",23,0.00050096
"48","Argentina",2015,"male",23,0.00142337
"49","Argentina",2015,"female",24,0.00050865
"50","Argentina",2015,"male",24,0.00136578
"51","Argentina",2015,"female",25,0.00052346
"52","Argentina",2015,"male",25,0.00133089
"53","Argentina",2015,"female",26,0.00054363
"54","Argentina",2015,"male",26,0.00131928
"55","Argentina",2015,"female",27,0.00056618
"56","Argentina",2015,"male",27,0.00132845
"57","Argentina",2015,"female",28,0.00058953
"58","Argentina",2015,"male",28,0.00135483
"59","Argentina",2015,"female",29,0.0006134
"60","Argentina",2015,"male",29,0.00139414
"61","Argentina",2015,"female",30,0.00063924
"62","Argentina",2015,"male",30,0.00144135
"63","Argentina",2015,"female",31,0.00067017
"64","Argentina",2015,"male",31,0.00149064
"65","Argentina",2015,"female",32,0.00070907
"66","Argentina",2015,"male",32,0.00153788
"67","Argentina",2015,"female",33,0.00075849
"68","Argentina",2015,"male",33,0.00158044
"69","Argentina",2015,"female",34,0.00081956
"70","Argentina",2015,"male",34,0.00161924
"71","Argentina",2015,"female",35,0.00089129
"72","Argentina",2015,"male",35,0.00165831
"73","Argentina",2015,"female",36,0.00097166
"74","Argentina",2015,"male",36,0.0017032
"75","Argentina",2015,"female",37,0.00105723
"76","Argentina",2015,"male",37,0.00176088
"77","Argentina",2015,"female",38,0.00114541
"78","Argentina",2015,"male",38,0.00183721
"79","Argentina",2015,"female",39,0.00123577
"80","Argentina",2015,"male",39,0.00193708
"81","Argentina",2015,"female",40,0.00133
"82","Argentina",2015,"male",40,0.00206439
"83","Argentina",2015,"female",41,0.00143317
"84","Argentina",2015,"male",41,0.00222167
"85","Argentina",2015,"female",42,0.00155078
"86","Argentina",2015,"male",42,0.00241132
"87","Argentina",2015,"female",43,0.00168768
"88","Argentina",2015,"male",43,0.00263515
"89","Argentina",2015,"female",44,0.0018473
"90","Argentina",2015,"male",44,0.00289462
"91","Argentina",2015,"female",45,0.00202897
"92","Argentina",2015,"male",45,0.00319043
"93","Argentina",2015,"female",46,0.0022302
"94","Argentina",2015,"male",46,0.00352285
"95","Argentina",2015,"female",47,0.0024463
"96","Argentina",2015,"male",47,0.00389185
"97","Argentina",2015,"female",48,0.00267273
"98","Argentina",2015,"male",48,0.00429777
"99","Argentina",2015,"female",49,0.00290889
"100","Argentina",2015,"male",49,0.00474281
"101","Argentina",2015,"female",50,0.00315681
"102","Argentina",2015,"male",50,0.00523072
"103","Argentina",2015,"female",51,0.00342407
"104","Argentina",2015,"male",51,0.0057685
"105","Argentina",2015,"female",52,0.00372015
"106","Argentina",2015,"male",52,0.0063646
"107","Argentina",2015,"female",53,0.00405355
