"","country","year","sex","x","count"
"1","Argentina","2015","female",0,371538
"2","Argentina","2015","male",0,392454.5
"3","Argentina","2015","female",1,366977.5
"4","Argentina","2015","male",1,388077
"5","Argentina","2015","female",2,357244.5
"6","Argentina","2015","male",2,378268.5
"7","Argentina","2015","female",3,358093.5
"8","Argentina","2015","male",3,379422.5
"9","Argentina","2015","female",4,362424.5
"10","Argentina","2015","male",4,383879.5
"11","Argentina","2015","female",5,358999
"12","Argentina","2015","male",5,379984
"13","Argentina","2015","female",6,356314
"14","Argentina","2015","male",6,377141.5
"15","Argentina","2015","female",7,349600.5
"16","Argentina","2015","male",7,370402
"17","Argentina","2015","female",8,342846.5
"18","Argentina","2015","male",8,363218
"19","Argentina","2015","female",9,342612
"20","Argentina","2015","male",9,362107
"21","Argentina","2015","female",10,340500
"22","Argentina","2015","male",10,358776.5
"23","Argentina","2015","female",11,337946.5
"24","Argentina","2015","male",11,355374.5
"25","Argentina","2015","female",12,337966.5
"26","Argentina","2015","male",12,355073.5
"27","Argentina","2015","female",13,339030.5
"28","Argentina","2015","male",13,355887
"29","Argentina","2015","female",14,340666.5
"30","Argentina","2015","male",14,357469
"31","Argentina","2015","female",15,342628.5
"32","Argentina","2015","male",15,359567.5
"33","Argentina","2015","female",16,341607
"34","Argentina","2015","male",16,358400.5
"35","Argentina","2015","female",17,339979
"36","Argentina","2015","male",17,356277
"37","Argentina","2015","female",18,341650.5
"38","Argentina","2015","male",18,357482
"39","Argentina","2015","female",19,345298.5
"40","Argentina","2015","male",19,360954
"41","Argentina","2015","female",20,348485
"42","Argentina","2015","male",20,364025.5
"43","Argentina","2015","female",21,348644
"44","Argentina","2015","male",21,363669
"45","Argentina","2015","female",22,345963.5
"46","Argentina","2015","male",22,360413
"47","Argentina","2015","female",23,343034.5
"48","Argentina","2015","male",23,357212.5
"49","Argentina","2015","female",24,340304.5
"50","Argentina","2015","male",24,354137
"51","Argentina","2015","female",25,335556
"52","Argentina","2015","male",25,348908
"53","Argentina","2015","female",26,331030.5
"54","Argentina","2015","male",26,343860.5
"55","Argentina","2015","female",27,326961
"56","Argentina","2015","male",27,339142
"57","Argentina","2015","female",28,322669
"58","Argentina","2015","male",28,334179.5
"59","Argentina","2015","female",29,319545.5
"60","Argentina","2015","male",29,330350.5
"61","Argentina","2015","female",30,318196.5
"62","Argentina","2015","male",30,328031.5
"63","Argentina","2015","female",31,317775
"64","Argentina","2015","male",31,326421
"65","Argentina","2015","female",32,317580.5
"66","Argentina","2015","male",32,324998.5
"67","Argentina","2015","female",33,318039.5
"68","Argentina","2015","male",33,325022.5
"69","Argentina","2015","female",34,317685
"70","Argentina","2015","male",34,324941.5
"71","Argentina","2015","female",35,316541.5
"72","Argentina","2015","male",35,324274
"73","Argentina","2015","female",36,313892.5
"74","Argentina","2015","male",36,322247.5
"75","Argentina","2015","female",37,309786.5
"76","Argentina","2015","male",37,317823.5
"77","Argentina","2015","female",38,303172.5
"78","Argentina","2015","male",38,309960
"79","Argentina","2015","female",39,294448
"80","Argentina","2015","male",39,299963.5
"81","Argentina","2015","female",40,286189
"82","Argentina","2015","male",40,290044
"83","Argentina","2015","female",41,277733.5
"84","Argentina","2015","male",41,279581
"85","Argentina","2015","female",42,269095
"86","Argentina","2015","male",42,269193
"87","Argentina","2015","female",43,261765.5
"88","Argentina","2015","male",43,260413
"89","Argentina","2015","female",44,254268
"90","Argentina","2015","male",44,251984
"91","Argentina","2015","female",45,247118
"92","Argentina","2015","male",45,244351.5
"93","Argentina","2015","female",46,240667
"94","Argentina","2015","male",46,237788
"95","Argentina","2015","female",47,234305
"96","Argentina","2015","male",47,231515.5
"97","Argentina","2015","female",48,229169
"98","Argentina","2015","male",48,226282.5
"99","Argentina","2015","female",49,226558.5
"100","Argentina","2015","male",49,223529.5
"101","Argentina","2015","female",50,226941
"102","Argentina","2015","male",50,223661.5
"103","Argentina","2015","female",51,227108
"104","Argentina","2015","male",51,223441
"105","Argentina","2015","female",52,225296
"106","Argentina","2015","male",52,221286
"107","Argentina","2015","female",53,222248.5
"108","Argentina","2015","male",53,217706
"109","Argentina","2015","female",54,219422.5
"110","Argentina","2015","male",54,214037.5
"111","Argentina","2015","female",55,217069.5
"112","Argentina","2015","male",55,210636
"113","Argentina","2015","female",56,212844
"114","Argentina","2015","male",56,205206.5
"115","Argentina","2015","female",57,209504
"116","Argentina","2015","male",57,200678.5
"117","Argentina","2015","female",58,207693
"118","Argentina","2015","male",58,197621
"119","Argentina","2015","female",59,204402
"120","Argentina","2015","male",59,192959.5
"121","Argentina","2015","female",60,200608
"122","Argentina","2015","male",60,187720
"123","Argentina","2015","female",61,197052
"124","Argentina","2015","male",61,182603.5
"125","Argentina","2015","female",62,193185
"126","Argentina","2015","male",62,177144.5
"127","Argentina","2015","female",63,188765
"128","Argentina","2015","male",63,171020
"129","Argentina","2015","female",64,183969
"130","Argentina","2015","male",64,164425
"131","Argentina","2015","female",65,178162.5
"132","Argentina","2015","male",65,157446.5
"133","Argentina","2015","female",66,173368.5
"134","Argentina","2015","male",66,151259
"135","Argentina","2015","female",67,169151.5
"136","Argentina","2015","male",67,145073
"137","Argentina","2015","female",68,162920.5
"138","Argentina","2015","male",68,137405
"139","Argentina","2015","female",69,155939.5
"140","Argentina","2015","male",69,129277.5
"141","Argentina","2015","female",70,149170.5
"142","Argentina","2015","male",70,121268.5
"143","Argentina","2015","female",71,142573.5
"144","Argentina","2015","male",71,113416.5
"145","Argentina","2015","female",72,136096.5
"146","Argentina","2015","male",72,105811.5
"147","Argentina","2015","female",73,129730.5
"148","Argentina","2015","male",73,98499.5
"149","Argentina","2015","female",74,123487
"150","Argentina","2015","male",74,91515.5
"151","Argentina","2015","female",75,117399
"152","Argentina","2015","male",75,84869
"153","Argentina","2015","female",76,111483.5
"154","Argentina","2015","male",76,78515.5
"155","Argentina","2015","female",77,105860.5
"156","Argentina","2015","male",77,72548
"157","Argentina","2015","female",78,100478.5
"158","Argentina","2015","male",78,66912.5
"159","Argentina","2015","female",79,95058.5
"160","Argentina","2015","male",79,61272.5
"161","Argentina","2015","female",80,89340.5
"162","Argentina","2015","male",80,55382
"163","Argentina","2015","female",81,83328.5
"164","Argentina","2015","male",81,49370
"165","Argentina","2015","female",82,77416
"166","Argentina","2015","male",82,43481.5
"167","Argentina","2015","female",83,71685.5
"168","Argentina","2015","male",83,37864.5
"169","Argentina","2015","female",84,66017
"170","Argentina","2015","male",84,32684
"171","Argentina","2015","female",85,60275.5
"172","Argentina","2015","male",85,28056.5
"173","Argentina","2015","female",86,54498.5
"174","Argentina","2015","male",86,23991.5
"175","Argentina","2015","female",87,48491.5
"176","Argentina","2015","male",87,20339.5
"177","Argentina","2015","female",88,42121
"178","Argentina","2015","male",88,16995
"179","Argentina","2015","female",89,35794
"180","Argentina","2015","male",89,13979
"181","Argentina","2015","female",90,29953.5
"182","Argentina","2015","male",90,11328
"183","Argentina","2015","female",91,24667.5
"184","Argentina","2015","male",91,9022
"185","Argentina","2015","female",92,19895
"186","Argentina","2015","male",92,7023.5
"187","Argentina","2015","female",93,15746
"188","Argentina","2015","male",93,5340
"189","Argentina","2015","female",94,12228.5
"190","Argentina","2015","male",94,3974
"191","Argentina","2015","female",95,9266.5
"192","Argentina","2015","male",95,2901
"193","Argentina","2015","female",96,6819
"194","Argentina","2015","male",96,2073.5
"195","Argentina","2015","female",97,4900.5
"196","Argentina","2015","male",97,1451.5
"197","Argentina","2015","female",98,3448.5
"198","Argentina","2015","male",98,997
"199","Argentina","2015","female",99,2360
"200","Argentina","2015","male",99,666
"201","Argentina","2016","female",0,362697.5
"202","Argentina","2016","male",0,382596.5
"203","Argentina","2016","female",1,370984.5
"204","Argentina","2016","male",1,391795
"205","Argentina","2016","female",2,366827
"206","Argentina","2016","male",2,387927
"207","Argentina","2016","female",3,357134.5
"208","Argentina","2016","male",3,378144
"209","Argentina","2016","female",4,358008.5
"210","Argentina","2016","male",4,379316
"211","Argentina","2016","female",5,362357
"212","Argentina","2016","male",5,383786.5
"213","Argentina","2016","female",6,358944
"214","Argentina","2016","male",6,379904
"215","Argentina","2016","female",7,356267
"216","Argentina","2016","male",7,377072
"217","Argentina","2016","female",8,349558.5
"218","Argentina","2016","male",8,370340
"219","Argentina","2016","female",9,342806
"220","Argentina","2016","male",9,363161
"221","Argentina","2016","female",10,342570.5
"222","Argentina","2016","male",10,362050
"223","Argentina","2016","female",11,340455
"224","Argentina","2016","male",11,358716
"225","Argentina","2016","female",12,337897.5
"226","Argentina","2016","male",12,355306
"227","Argentina","2016","female",13,337912
"228","Argentina","2016","male",13,354990
"229","Argentina","2016","female",14,338969.5
"230","Argentina","2016","male",14,355776.5
"231","Argentina","2016","female",15,340597.5
"232","Argentina","2016","male",15,357316.5
"233","Argentina","2016","female",16,342552
"234","Argentina","2016","male",16,359352
"235","Argentina","2016","female",17,341526
"236","Argentina","2016","male",17,358110.5
"237","Argentina","2016","female",18,339895
"238","Argentina","2016","male",18,355913
"239","Argentina","2016","female",19,341568
"240","Argentina","2016","male",19,357060
"241","Argentina","2016","female",20,345219.5
"242","Argentina","2016","male",20,360503
"243","Argentina","2016","female",21,348411.5
"244","Argentina","2016","male",21,363573.5
"245","Argentina","2016","female",22,348575.5
"246","Argentina","2016","male",22,363238
"247","Argentina","2016","female",23,345898
"248","Argentina","2016","male",23,360009
"249","Argentina","2016","female",24,342968
"250","Argentina","2016","male",24,356826.5
"251","Argentina","2016","female",25,340233
"252","Argentina","2016","male",25,353760.5
"253","Argentina","2016","female",26,335477
"254","Argentina","2016","male",26,348535
"255","Argentina","2016","female",27,330941
"256","Argentina","2016","male",27,343484.5
"257","Argentina","2016","female",28,326860.5
"258","Argentina","2016","male",28,338759.5
