"","norm_country","norm_id","lower","upper","sex","avg_util"
"1","Argentina","janssen_euvas",0,17,"female",0.907
"2","Argentina","janssen_euvas",0,17,"male",0.907
"3","Argentina","janssen_euvas",18,24,"female",0.907
"4","Argentina","janssen_euvas",18,24,"male",0.907
"5","Argentina","janssen_euvas",25,34,"female",0.889
"6","Argentina","janssen_euvas",25,34,"male",0.889
"7","Argentina","janssen_euvas",35,44,"female",0.869
"8","Argentina","janssen_euvas",35,44,"male",0.869
"9","Argentina","janssen_euvas",45,54,"female",0.849
"10","Argentina","janssen_euvas",45,54,"male",0.849
"11","Argentina","janssen_euvas",55,64,"female",0.829
"12","Argentina","janssen_euvas",55,64,"male",0.829
"13","Argentina","janssen_euvas",65,74,"female",0.796
"14","Argentina","janssen_euvas",65,74,"male",0.796
"15","Argentina","janssen_euvas",75,200,"female",0.724
"16","Argentina","janssen_euvas",75,200,"male",0.724
"17","Argentina","janssen_tto",0,17,"female",0.951
"18","Argentina","janssen_tto",0,17,"male",0.951
"19","Argentina","janssen_tto",18,24,"female",0.951
"20","Argentina","janssen_tto",18,24,"male",0.951
"21","Argentina","janssen_tto",25,34,"female",0.936
"22","Argentina","janssen_tto",25,34,"male",0.936
"23","Argentina","janssen_tto",35,44,"female",0.919
"24","Argentina","janssen_tto",35,44,"male",0.919
"25","Argentina","janssen_tto",45,54,"female",0.898
"26","Argentina","janssen_tto",45,54,"male",0.898
"27","Argentina","janssen_tto",55,64,"female",0.874
"28","Argentina","janssen_tto",55,64,"male",0.874
"29","Argentina","janssen_tto",65,74,"female",0.835
"30","Argentina","janssen_tto",65,74,"male",0.835
"31","Argentina","janssen_tto",75,200,"female",0.756
"32","Argentina","janssen_tto",75,200,"male",0.756
"33","Argentina","janssen_vas",0,17,"female",0.928
"34","Argentina","janssen_vas",0,17,"male",0.928
"35","Argentina","janssen_vas",18,24,"female",0.928
"36","Argentina","janssen_vas",18,24,"male",0.928
"37","Argentina","janssen_vas",25,34,"female",0.911
"38","Argentina","janssen_vas",25,34,"male",0.911
"39","Argentina","janssen_vas",35,44,"female",0.888
"40","Argentina","janssen_vas",35,44,"male",0.888
"41","Argentina","janssen_vas",45,54,"female",0.867
"42","Argentina","janssen_vas",45,54,"male",0.867
"43","Argentina","janssen_vas",55,64,"female",0.837
"44","Argentina","janssen_vas",55,64,"male",0.837
"45","Argentina","janssen_vas",65,74,"female",0.793
"46","Argentina","janssen_vas",65,74,"male",0.793
"47","Argentina","janssen_vas",75,200,"female",0.712
"48","Argentina","janssen_vas",75,200,"male",0.712
"49","Belgium","janssen_euvas",0,17,"female",0.953
"50","Belgium","janssen_euvas",0,17,"male",0.953
"51","Belgium","janssen_euvas",18,24,"female",0.953
"52","Belgium","janssen_euvas",18,24,"male",0.953
"53","Belgium","janssen_euvas",25,34,"female",0.921
"54","Belgium","janssen_euvas",25,34,"male",0.921
"55","Belgium","janssen_euvas",35,44,"female",0.92
"56","Belgium","janssen_euvas",35,44,"male",0.92
"57","Belgium","janssen_euvas",45,54,"female",0.889
"58","Belgium","janssen_euvas",45,54,"male",0.889
"59","Belgium","janssen_euvas",55,64,"female",0.881
"60","Belgium","janssen_euvas",55,64,"male",0.881
"61","Belgium","janssen_euvas",65,74,"female",0.848
"62","Belgium","janssen_euvas",65,74,"male",0.848
"63","Belgium","janssen_euvas",75,200,"female",0.761
"64","Belgium","janssen_euvas",75,200,"male",0.761
"65","Belgium","janssen_vas",0,17,"female",0.948
"66","Belgium","janssen_vas",0,17,"male",0.948
"67","Belgium","janssen_vas",18,24,"female",0.948
"68","Belgium","janssen_vas",18,24,"male",0.948
"69","Belgium","janssen_vas",25,34,"female",0.915
"70","Belgium","janssen_vas",25,34,"male",0.915
"71","Belgium","janssen_vas",35,44,"female",0.912
"72","Belgium","janssen_vas",35,44,"male",0.912
"73","Belgium","janssen_vas",45,54,"female",0.881
"74","Belgium","janssen_vas",45,54,"male",0.881
"75","Belgium","janssen_vas",55,64,"female",0.871
"76","Belgium","janssen_vas",55,64,"male",0.871
"77","Belgium","janssen_vas",65,74,"female",0.836
"78","Belgium","janssen_vas",65,74,"male",0.836
"79","Belgium","janssen_vas",75,200,"female",0.748
"80","Belgium","janssen_vas",75,200,"male",0.748
"81","China","janssen_euvas",0,17,"female",0.99
"82","China","janssen_euvas",0,17,"male",0.99
"83","China","janssen_euvas",18,24,"female",0.99
"84","China","janssen_euvas",18,24,"male",0.99
"85","China","janssen_euvas",25,34,"female",0.98
"86","China","janssen_euvas",25,34,"male",0.98
"87","China","janssen_euvas",35,44,"female",0.97
"88","China","janssen_euvas",35,44,"male",0.97
"89","China","janssen_euvas",45,54,"female",0.96
"90","China","janssen_euvas",45,54,"male",0.96
"91","China","janssen_euvas",55,64,"female",0.93
"92","China","janssen_euvas",55,64,"male",0.93
"93","China","janssen_euvas",65,74,"female",0.9
"94","China","janssen_euvas",65,74,"male",0.9
"95","China","janssen_euvas",75,200,"female",0.84
"96","China","janssen_euvas",75,200,"male",0.84
"97","Denmark","janssen_euvas",0,17,"female",0.914
"98","Denmark","janssen_euvas",0,17,"male",0.914
"99","Denmark","janssen_euvas",18,24,"female",0.914
"100","Denmark","janssen_euvas",18,24,"male",0.914
"101","Denmark","janssen_euvas",25,34,"female",0.914
"102","Denmark","janssen_euvas",25,34,"male",0.914
"103","Denmark","janssen_euvas",35,44,"female",0.881
"104","Denmark","janssen_euvas",35,44,"male",0.881
"105","Denmark","janssen_euvas",45,54,"female",0.861
"106","Denmark","janssen_euvas",45,54,"male",0.861
"107","Denmark","janssen_euvas",55,64,"female",0.845
"108","Denmark","janssen_euvas",55,64,"male",0.845
"109","Denmark","janssen_euvas",65,74,"female",0.818
"110","Denmark","janssen_euvas",65,74,"male",0.818
"111","Denmark","janssen_euvas",75,200,"female",0.753
"112","Denmark","janssen_euvas",75,200,"male",0.753
"113","Denmark","janssen_tto",0,17,"female",0.928
"114","Denmark","janssen_tto",0,17,"male",0.928
"115","Denmark","janssen_tto",18,24,"female",0.928
"116","Denmark","janssen_tto",18,24,"male",0.928
"117","Denmark","janssen_tto",25,34,"female",0.927
"118","Denmark","janssen_tto",25,34,"male",0.927
"119","Denmark","janssen_tto",35,44,"female",0.901
"120","Denmark","janssen_tto",35,44,"male",0.901
"121","Denmark","janssen_tto",45,54,"female",0.882
"122","Denmark","janssen_tto",45,54,"male",0.882
"123","Denmark","janssen_tto",55,64,"female",0.87
"124","Denmark","janssen_tto",55,64,"male",0.87
"125","Denmark","janssen_tto",65,74,"female",0.847
"126","Denmark","janssen_tto",65,74,"male",0.847
"127","Denmark","janssen_tto",75,200,"female",0.794
"128","Denmark","janssen_tto",75,200,"male",0.794
"129","Denmark","janssen_vas",0,17,"female",0.885
"130","Denmark","janssen_vas",0,17,"male",0.885
"131","Denmark","janssen_vas",18,24,"female",0.885
"132","Denmark","janssen_vas",18,24,"male",0.885
"133","Denmark","janssen_vas",25,34,"female",0.884
"134","Denmark","janssen_vas",25,34,"male",0.884
"135","Denmark","janssen_vas",35,44,"female",0.845
"136","Denmark","janssen_vas",35,44,"male",0.845
"137","Denmark","janssen_vas",45,54,"female",0.822
"138","Denmark","janssen_vas",45,54,"male",0.822
"139","Denmark","janssen_vas",55,64,"female",0.799
"140","Denmark","janssen_vas",55,64,"male",0.799
"141","Denmark","janssen_vas",65,74,"female",0.766
"142","Denmark","janssen_vas",65,74,"male",0.766
